Run_1_Agents Removed,Run_2_Agents Removed,Run_3_Agents Removed,Run_4_Agents Removed,Run_5_Agents Removed
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1
2.0,1.0,1.0,2.0,1
4.0,1.0,1.0,3.0,2
4.0,2.0,2.0,3.0,2
5.0,3.0,5.0,4.0,2
6.0,3.0,6.0,5.0,5
6.0,4.0,6.0,5.0,5
6.0,4.0,7.0,6.0,6
7.0,5.0,8.0,7.0,7
8.0,7.0,9.0,7.0,7
8.0,7.0,9.0,8.0,9
10.0,9.0,9.0,9.0,10
11.0,9.0,10.0,10.0,10
12.0,11.0,10.0,10.0,11
13.0,11.0,11.0,11.0,11
13.0,12.0,12.0,12.0,12
14.0,13.0,13.0,13.0,12
15.0,14.0,13.0,13.0,13
16.0,15.0,13.0,13.0,13
17.0,16.0,13.0,13.0,14
17.0,17.0,15.0,15.0,15
18.0,18.0,16.0,15.0,16
19.0,18.0,17.0,16.0,16
20.0,19.0,18.0,17.0,16
21.0,20.0,18.0,18.0,16
22.0,20.0,18.0,19.0,17
23.0,21.0,18.0,19.0,17
23.0,22.0,19.0,20.0,17
23.0,22.0,19.0,21.0,18
25.0,22.0,20.0,22.0,18
25.0,23.0,20.0,22.0,19
25.0,23.0,21.0,22.0,19
27.0,24.0,23.0,23.0,19
28.0,24.0,23.0,23.0,21
29.0,25.0,24.0,24.0,21
30.0,25.0,24.0,25.0,22
30.0,26.0,25.0,25.0,23
31.0,26.0,25.0,26.0,23
31.0,26.0,26.0,27.0,24
32.0,27.0,26.0,29.0,24
33.0,27.0,28.0,30.0,27
33.0,28.0,28.0,31.0,27
36.0,29.0,28.0,32.0,28
36.0,30.0,29.0,34.0,28
36.0,30.0,29.0,34.0,28
36.0,30.0,30.0,34.0,30
37.0,31.0,30.0,35.0,30
37.0,32.0,30.0,35.0,31
37.0,33.0,31.0,35.0,31
38.0,33.0,32.0,35.0,32
38.0,33.0,32.0,35.0,32
39.0,34.0,34.0,35.0,33
40.0,35.0,36.0,35.0,33
,36.0,37.0,35.0,33
,37.0,37.0,38.0,33
,37.0,38.0,39.0,34
,37.0,39.0,39.0,34
,38.0,39.0,,36
,,39.0,,36
,,42.0,,37
,,43.0,,38
,,43.0,,39
,,44.0,,40
,,44.0,,41
,,44.0,,41
,,44.0,,41
,,44.0,,42
,,45.0,,42
,,45.0,,43
,,,,45
,,,,48
,,,,48
,,,,48
